Id,SalePrice
1461,193453.794606823
1462,248928.95873276144
1463,254636.1652063697
1464,274714.67487121
1465,273977.74863041635
1466,258648.77115230844
1467,271864.07946800557
1468,251699.737919227
1469,283825.6621706551
1470,200954.82496290538
1471,289903.28392526414
1472,191866.2158683166
1473,174948.47162145562
1474,233531.72532898444
1475,192018.96491520945
1476,434927.81684633554
1477,332085.9987750123
1478,388586.93764689006
1479,379072.58038011333
1480,512754.3161257459
1481,373824.8577901609
1482,301050.67317088577
1483,265034.6832186724
1484,256365.640788279
1485,290216.5327840077
1486,299429.2760905195
1487,377100.73798809573
1488,326861.3946078834
1489,275295.2776104831
1490,323339.63019664097
1491,303435.3913446376
1492,176823.59503395576
1493,290047.80039785197
1494,377517.0396137063
1495,354928.07866050326
1496,328895.47788179386
1497,259587.5106521533
1498,263919.6109284493
1499,258030.294763759
1500,252663.96998176677
1501,287439.98759213183
1502,233000.43574419338
1503,371794.8010319548
1504,329342.4419911904
1505,312109.3162662841
1506,281160.2807343146
1507,331551.0884151934
1508,287329.6149080994
1509,240156.7003044628
1510,222276.95587609732
1511,241193.31010604114
1512,264919.9189027522
1513,246948.19548862684
1514,229070.2722022694
1515,302418.56864868314
1516,255756.44631532184
1517,249809.42533327034
1518,206529.25260078162
1519,314328.36502102925
1520,213167.27674252167
1521,205508.40516513446
1522,282268.3589239926
1523,181989.18487174134
1524,212598.50016850606
1525,176546.97843249794
1526,170136.8678721576
1527,175957.64894968108
1528,234485.4806568087
1529,227407.30242927605
1530,288491.771377353
1531,237055.39849032834
1532,203824.3527997327
1533,255190.90469555254
1534,238584.60250252322
1535,246326.00953870034
1536,194544.7611998187
1537,127249.26421616971
1538,244326.2250325936
1539,315021.85817621485
1540,198389.79057196015
1541,228631.4134243452
1542,230507.8188884789
1543,274651.41596626677
1544,177639.38240764942
1545,194766.78485411778
1546,230076.94429252343
1547,240853.05261086114
1548,218962.8209453812
1549,201618.59801840177
1550,225398.6966467565
1551,222555.18052982795
1552,229360.0087802112
1553,251118.3021229282
1554,201556.61166355992
1555,248687.1346262321
1556,155390.88052593428
1557,204357.7442432358
1558,197860.53965028888
1559,161416.3499497145
1560,230766.75233133812
1561,233067.30387164606
1562,219003.47734912648
1563,203937.50136017404
1564,247720.59757854627
1565,220405.08059896668
1566,322683.2019284826
1567,161010.1621962164
1568,318779.85983389476
1569,204162.96458001994
1570,224091.06259746337
1571,184086.415012395
1572,225189.5068382176
1573,341885.43945389055
1574,199176.05714157945
1575,323386.758547341
1576,343318.43319287966
1577,280536.28274616785
1578,236005.99681959208
1579,214497.98847108264
1580,276767.50305239786
1581,248723.15132564516
1582,213392.11391500174
1583,379499.74018593784
1584,312459.4316261695
1585,237969.16387207247
1586,125509.40942600486
1587,185819.02004082454
1588,238540.83141182782
1589,186819.29664603202
1590,221923.43419733853
1591,165831.34458851675
1592,223458.15343372733
1593,220951.10110560083
1594,225220.25160759035
1595,207433.5555022112
1596,300904.5976108224
1597,251100.88239265466
1598,277687.427142984
1599,275949.50215760875
1600,269449.8477606394
1601,123178.28904268425
1602,204351.0812198848
1603,143344.0181875117
1604,349218.69190057414
1605,334287.77179898997
1606,251219.25400183792
1607,249233.11311309622
1608,315118.85250123776
1609,281823.89720762195
1610,239351.81624844298
1611,218201.3549784585
1612,265576.28775910265
1613,249448.7024600159
1614,218641.3529346774
1615,175450.12345173815
1616,147615.22393597383
1617,153165.50762183964
1618,197192.5441897614
1619,242063.8226231935
1620,233792.78696767008
1621,222481.47937668487
1622,240886.58746976685
1623,344702.0571559479
1624,308359.31062371074
1625,202630.83049241616
1626,269447.57009506784
1627,268958.89393666736
1628,372299.8601931068
1629,258744.1031851531
1630,406724.1728716295
1631,299575.47524090856
1632,309928.8570381724
1633,272753.8007156821
1634,276305.6054505515
1635,273535.7229038477
1636,243505.50977235404
1637,275182.123006576
1638,284935.4472807911
1639,265178.76160386857
1640,348791.59188217623
1641,268688.7829720322
1642,344540.129668453
1643,306684.7107598039
1644,319862.5499996762
1645,323362.4508677034
1646,252218.83608974656
1647,243685.6102556833
1648,218521.24378775526
1649,225189.89134756243
1650,189045.69470528187
1651,197191.05968475644
